+proj=utm +zone=22 +south +datum=WGS84 +units=m +no_defs
658528.361 7167002.098 890.636 2461 234 IMG_5349.JPG HV01
658528.361 7167002.098 890.636 1824 1088 IMG_5350.JPG HV01
658528.361 7167002.098 890.636 2183 1898 IMG_5351.JPG HV01
658546.365 7166987.076 892.227 2436 336 IMG_5350.JPG HV05
658546.365 7166987.076 892.227 2802 1194 IMG_5351.JPG HV05
658546.365 7166987.076 892.227 2670 2235 IMG_5352.JPG HV05
658546.365 7166987.076 892.227 3685 455 IMG_5356.JPG HV05
658546.365 7166987.076 892.227 3552 1580 IMG_5357.JPG HV05
658546.365 7166987.076 892.227 3415 2243 IMG_5358.JPG HV05
658580.621 7166987.568 890.855 2727 854 IMG_5352.JPG HV07
658580.621 7166987.568 890.855 2705 1783 IMG_5353.JPG HV07
658580.621 7166987.568 890.855 3456 134 IMG_5354.JPG HV07
658580.621 7166987.568 890.855 3419 1160 IMG_5355.JPG HV07
658580.621 7166987.568 890.855 3594 1882 IMG_5356.JPG HV07
658580.621 7166987.568 890.855 3498 2821 IMG_5357.JPG HV07
658526.841 7166958.021 894.482 3647 1138 IMG_5350.JPG HV15
658526.841 7166958.021 894.482 2337 821 IMG_5357.JPG HV15
658526.841 7166958.021 894.482 2264 1631 IMG_5358.JPG HV15
658581.160 7166956.821 892.680 2112 208 IMG_5354.JPG HV17
658581.160 7166956.821 892.680 2153 1245 IMG_5355.JPG HV17
658581.160 7166956.821 892.680 2381 1977 IMG_5356.JPG HV17
658581.160 7166956.821 892.680 2347 2912 IMG_5357.JPG HV17
658550.546 7166941.964 893.720 1701 769 IMG_5356.JPG HV19
658550.546 7166941.964 893.720 1706 1838 IMG_5357.JPG HV19
658550.546 7166941.964 893.720 1699 2538 IMG_5358.JPG HV19
