+proj=utm +zone=22 +south +datum=WGS84 +units=m +no_defs
658528.361 7167002.098 890.636 2461 234 IMG_5349.JPG HV01
658528.361 7167002.098 890.636 1824 1088 IMG_5350.JPG HV01
658528.361 7167002.098 890.636 2183 1898 IMG_5351.JPG HV01
658551.074 7166993.038 891.713 2189 145 IMG_5350.JPG HV04
658551.074 7166993.038 891.713 2555 1000 IMG_5351.JPG HV04
658551.074 7166993.038 891.713 2441 2032 IMG_5352.JPG HV04
658551.074 7166993.038 891.713 3927 655 IMG_5356.JPG HV04
658551.074 7166993.038 891.713 3784 1749 IMG_5357.JPG HV04
658546.365 7166987.076 892.227 2436 336 IMG_5350.JPG HV05
658546.365 7166987.076 892.227 2802 1194 IMG_5351.JPG HV05
658546.365 7166987.076 892.227 2670 2235 IMG_5352.JPG HV05
658546.365 7166987.076 892.227 3685 455 IMG_5356.JPG HV05
658546.365 7166987.076 892.227 3552 1580 IMG_5357.JPG HV05
658546.365 7166987.076 892.227 3415 2243 IMG_5358.JPG HV05
658562.032 7166988.045 891.862 2770 536 IMG_5351.JPG HV06
658562.032 7166988.045 891.862 2670 1614 IMG_5352.JPG HV06
658562.032 7166988.045 891.862 2671 2523 IMG_5353.JPG HV06
658562.032 7166988.045 891.862 3489 339 IMG_5355.JPG HV06
658562.032 7166988.045 891.862 3677 1149 IMG_5356.JPG HV06
658562.032 7166988.045 891.862 3552 2182 IMG_5357.JPG HV06
658562.032 7166988.045 891.862 3431 2763 IMG_5358.JPG HV06
658580.621 7166987.568 890.855 2727 854 IMG_5352.JPG HV07
658580.621 7166987.568 890.855 2705 1783 IMG_5353.JPG HV07
658580.621 7166987.568 890.855 3456 134 IMG_5354.JPG HV07
658580.621 7166987.568 890.855 3419 1160 IMG_5355.JPG HV07
658580.621 7166987.568 890.855 3594 1882 IMG_5356.JPG HV07
658580.621 7166987.568 890.855 3498 2821 IMG_5357.JPG HV07
658521.058 7166983.570 892.520 3269 502 IMG_5349.JPG HV08
658521.058 7166983.570 892.520 2568 1380 IMG_5350.JPG HV08
658521.058 7166983.570 892.520 2926 2211 IMG_5351.JPG HV08
658521.058 7166983.570 892.520 3454 499 IMG_5357.JPG HV08
658521.058 7166983.570 892.520 3293 1296 IMG_5358.JPG HV08
658543.174 7166977.062 892.871 2851 465 IMG_5350.JPG HV09
658543.174 7166977.062 892.871 3238 1323 IMG_5351.JPG HV09
658543.174 7166977.062 892.871 3075 2390 IMG_5352.JPG HV09
658543.174 7166977.062 892.871 3242 333 IMG_5356.JPG HV09
658543.174 7166977.062 892.871 3148 1478 IMG_5357.JPG HV09
658543.174 7166977.062 892.871 3035 2168 IMG_5358.JPG HV09
658577.759 7166974.204 892.006 3289 992 IMG_5352.JPG HV10
658577.759 7166974.204 892.006 3262 1922 IMG_5353.JPG HV10
658577.759 7166974.204 892.006 2880 1065 IMG_5355.JPG HV10
658577.759 7166974.204 892.006 3073 1811 IMG_5356.JPG HV10
658577.759 7166974.204 892.006 3002 2762 IMG_5357.JPG HV10
658540.948 7166971.036 892.922 3098 554 IMG_5350.JPG HV11
658540.948 7166971.036 892.922 3487 1414 IMG_5351.JPG HV11
658540.948 7166971.036 892.922 2802 2109 IMG_5352.JPG HV11
658540.948 7166971.036 892.922 3316 2492 IMG_5352.JPG HV11
658540.948 7166971.036 892.922 2974 244 IMG_5356.JPG HV11
658540.948 7166971.036 892.922 2894 1397 IMG_5357.JPG HV11
658571.091 7166970.908 892.059 3420 1277 IMG_5352.JPG HV12
658571.091 7166970.908 892.059 3392 2197 IMG_5353.JPG HV12
658571.091 7166970.908 892.059 2734 780 IMG_5355.JPG HV12
658571.091 7166970.908 892.059 2862 2536 IMG_5357.JPG HV12
658551.872 7166966.155 893.041 3315 91 IMG_5350.JPG HV13
658551.872 7166966.155 893.041 3723 947 IMG_5351.JPG HV13
658551.872 7166966.155 893.041 3559 2074 IMG_5352.JPG HV13
658551.872 7166966.155 893.041 3567 2977 IMG_5353.JPG HV13
658551.872 7166966.155 893.041 2750 765 IMG_5356.JPG HV13
658551.872 7166966.155 893.041 2691 1844 IMG_5357.JPG HV13
658551.872 7166966.155 893.041 2622 2507 IMG_5358.JPG HV13
658566.909 7166965.035 892.334 3626 2366 IMG_5353.JPG HV14
658566.909 7166965.035 892.334 2489 608 IMG_5355.JPG HV14
658566.909 7166965.035 892.334 2653 2412 IMG_5357.JPG HV14
658566.909 7166965.035 892.334 3633 2381 IMG_5358.JPG HV14
658526.841 7166958.021 894.482 3647 1138 IMG_5350.JPG HV15
658526.841 7166958.021 894.482 2337 821 IMG_5357.JPG HV15
658526.841 7166958.021 894.482 2264 1631 IMG_5358.JPG HV15
658581.160 7166956.821 892.680 2112 208 IMG_5354.JPG HV17
658581.160 7166956.821 892.680 2153 1245 IMG_5355.JPG HV17
658581.160 7166956.821 892.680 2381 1977 IMG_5356.JPG HV17
658581.160 7166956.821 892.680 2347 2912 IMG_5357.JPG HV17
658550.546 7166941.964 893.720 1701 769 IMG_5356.JPG HV19
658550.546 7166941.964 893.720 1706 1838 IMG_5357.JPG HV19
658550.546 7166941.964 893.720 1699 2538 IMG_5358.JPG HV19
