+proj=utm +zone=22 +south +datum=WGS84 +units=m +no_defs
658528.361 7167002.098 890.636 2460.6 233.9 IMG_5349.JPG HV01
658528.361 7167002.098 890.636 1823.5 1087.9 IMG_5350.JPG HV01
658528.361 7167002.098 890.636 2182.6 1897.9 IMG_5351.JPG HV01
658586.168 7167009.487 890.139 1855.8 602.3 IMG_5352.JPG HV02
658586.168 7167009.487 890.139 1848.0 1544.6 IMG_5353.JPG HV02
658594.902 7167008.457 894.459 1894.8 183.6 IMG_5352.JPG HV03
658594.902 7167008.457 894.459 1875.4 1196.3 IMG_5353.JPG HV03
658551.074 7166993.038 891.713 2189.3 145.4 IMG_5350.JPG HV04
658551.074 7166993.038 891.713 2554.7 1000.1 IMG_5351.JPG HV04
658551.074 7166993.038 891.713 2440.7 2031.5 IMG_5352.JPG HV04
658551.074 7166993.038 891.713 3927.4 654.5 IMG_5356.JPG HV04
658551.074 7166993.038 891.713 3783.6 1749.4 IMG_5357.JPG HV04
658546.365 7166987.076 892.227 2436.1 336.3 IMG_5350.JPG HV05
658546.365 7166987.076 892.227 2802.0 1194.1 IMG_5351.JPG HV05
658546.365 7166987.076 892.227 2670.0 2235.2 IMG_5352.JPG HV05
658546.365 7166987.076 892.227 3684.8 454.7 IMG_5356.JPG HV05
658546.365 7166987.076 892.227 3552.0 1580.0 IMG_5357.JPG HV05
658546.365 7166987.076 892.227 3415.3 2242.5 IMG_5358.JPG HV05
658562.032 7166988.045 891.862 2770.4 536.0 IMG_5351.JPG HV06
658562.032 7166988.045 891.862 2669.7 1613.7 IMG_5352.JPG HV06
658562.032 7166988.045 891.862 2670.5 2523.2 IMG_5353.JPG HV06
658562.032 7166988.045 891.862 3489.2 339.1 IMG_5355.JPG HV06
658562.032 7166988.045 891.862 3677.2 1148.6 IMG_5356.JPG HV06
658562.032 7166988.045 891.862 3552.3 2181.5 IMG_5357.JPG HV06
658562.032 7166988.045 891.862 3431.2 2762.8 IMG_5358.JPG HV06
658580.621 7166987.568 890.855 2726.7 853.6 IMG_5352.JPG HV07
658580.621 7166987.568 890.855 2704.7 1783.3 IMG_5353.JPG HV07
